,county_code,city_town_code,ward_number,precinct_number,precinct_label,G20PRERTRU,G20PREDBID,G20PRENDEL,G20USSNDER,G20USSTWIL,G20PRETBLA,G20PRELJOR,G20PREGHAW,G20USSGSQU,G20USSDPET,G20USSRJAM,COUNTYFIPS,city_town_name_x,join_id,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),city_town_name_y,_merge
31,3,16,0,1,,1096.0,984.0,1.0,5.0,14.0,5.0,31.0,7.0,16.0,931.0,1156.0,005,GUNPLAIN TOWNSHIP,005-GUNPLAIN TOWNSHIP,,,,,,,,,left_only
32,3,16,0,2,,799.0,538.0,1.0,2.0,18.0,6.0,23.0,4.0,19.0,521.0,799.0,005,GUNPLAIN TOWNSHIP,005-GUNPLAIN TOWNSHIP,,,,,,,,,left_only
121,7,8,0,1,,1133.0,647.0,0.0,2.0,13.0,0.0,15.0,5.0,6.0,657.0,1092.0,013,LANSE TOWNSHIP,013-LANSE TOWNSHIP,,,,,,,,,left_only
128,8,12,0,1,,1156.0,555.0,1.0,6.0,8.0,1.0,24.0,4.0,9.0,557.0,1152.0,015,HASTINGS TOWNSHIP,015-HASTINGS TOWNSHIP,,,,,,,,,left_only
135,8,26,0,1,,704.0,378.0,2.0,3.0,11.0,3.0,11.0,0.0,9.0,367.0,701.0,015,RUTLAND TOWNSHIP,015-RUTLAND TOWNSHIP,,,,,,,,,left_only
136,8,26,0,2,,908.0,581.0,1.0,6.0,12.0,0.0,23.0,2.0,5.0,540.0,933.0,015,RUTLAND TOWNSHIP,015-RUTLAND TOWNSHIP,,,,,,,,,left_only
147,9,2,0,1,,652.0,478.0,1.0,2.0,6.0,2.0,15.0,0.0,4.0,467.0,645.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
148,9,2,0,2,,842.0,573.0,0.0,1.0,14.0,3.0,15.0,1.0,6.0,604.0,796.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
149,9,2,0,3,,814.0,620.0,0.0,0.0,6.0,4.0,10.0,0.0,6.0,633.0,786.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
150,9,2,0,4,,637.0,573.0,2.0,2.0,5.0,3.0,8.0,4.0,6.0,599.0,601.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
151,9,2,0,5,,1053.0,863.0,0.0,4.0,22.0,5.0,10.0,6.0,18.0,860.0,1002.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
152,9,2,0,6,,778.0,707.0,0.0,5.0,9.0,2.0,18.0,2.0,9.0,708.0,763.0,017,BANGOR TOWNSHIP,017-BANGOR TOWNSHIP,,,,,,,,,left_only
158,9,14,0,1,,414.0,333.0,0.0,0.0,3.0,3.0,7.0,0.0,2.0,341.0,398.0,017,HAMPTON TOWNSHIP,017-HAMPTON TOWNSHIP,,,,,,,,,left_only
159,9,14,0,2,,666.0,535.0,0.0,2.0,10.0,4.0,11.0,2.0,10.0,540.0,645.0,017,HAMPTON TOWNSHIP,017-HAMPTON TOWNSHIP,,,,,,,,,left_only
160,9,14,0,3,,621.0,523.0,0.0,3.0,10.0,3.0,9.0,1.0,5.0,532.0,586.0,017,HAMPTON TOWNSHIP,017-HAMPTON TOWNSHIP,,,,,,,,,left_only
161,9,14,0,4,,590.0,730.0,0.0,2.0,14.0,1.0,19.0,4.0,10.0,750.0,559.0,017,HAMPTON TOWNSHIP,017-HAMPTON TOWNSHIP,,,,,,,,,left_only
162,9,14,0,5,,537.0,448.0,1.0,2.0,11.0,1.0,10.0,6.0,9.0,456.0,515.0,017,HAMPTON TOWNSHIP,017-HAMPTON TOWNSHIP,,,,,,,,,left_only
166,9,20,0,1,,420.0,341.0,0.0,2.0,4.0,0.0,6.0,0.0,2.0,365.0,372.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
167,9,20,0,2,,879.0,706.0,0.0,2.0,15.0,2.0,16.0,5.0,12.0,703.0,847.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
168,9,20,0,3,,858.0,452.0,0.0,0.0,12.0,2.0,21.0,1.0,3.0,469.0,830.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
169,9,20,0,4,,526.0,530.0,0.0,1.0,10.0,0.0,9.0,4.0,7.0,525.0,507.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
170,9,20,0,5,,919.0,555.0,1.0,5.0,6.0,2.0,16.0,3.0,7.0,565.0,887.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
171,9,20,0,6,,507.0,330.0,0.0,2.0,5.0,0.0,5.0,1.0,6.0,346.0,481.0,017,MONITOR TOWNSHIP,017-MONITOR TOWNSHIP,,,,,,,,,left_only
174,9,26,0,1,,540.0,366.0,1.0,2.0,7.0,1.0,7.0,2.0,9.0,397.0,483.0,017,PORTSMOUTH TOWNSHIP,017-PORTSMOUTH TOWNSHIP,,,,,,,,,left_only
175,9,26,0,2,,656.0,509.0,1.0,3.0,9.0,1.0,13.0,3.0,5.0,547.0,599.0,017,PORTSMOUTH TOWNSHIP,017-PORTSMOUTH TOWNSHIP,,,,,,,,,left_only
176,9,28,0,1,,1020.0,543.0,1.0,5.0,14.0,3.0,23.0,5.0,6.0,546.0,1006.0,017,WILLIAMS TOWNSHIP,017-WILLIAMS TOWNSHIP,,,,,,,,,left_only
177,9,28,0,2,,658.0,436.0,0.0,2.0,9.0,1.0,9.0,3.0,8.0,453.0,626.0,017,WILLIAMS TOWNSHIP,017-WILLIAMS TOWNSHIP,,,,,,,,,left_only
178,9,28,0,3,,287.0,151.0,0.0,2.0,1.0,0.0,9.0,0.0,1.0,167.0,267.0,017,WILLIAMS TOWNSHIP,017-WILLIAMS TOWNSHIP,,,,,,,,,left_only
180,9,54,1,1,,757.0,983.0,0.0,4.0,17.0,1.0,24.0,13.0,17.0,981.0,736.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
181,9,54,2,1,,698.0,1117.0,2.0,3.0,16.0,2.0,15.0,4.0,13.0,1085.0,713.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
182,9,54,3,1,,613.0,882.0,1.0,8.0,23.0,2.0,25.0,9.0,19.0,884.0,577.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
183,9,54,4,1,,752.0,942.0,5.0,6.0,22.0,3.0,29.0,4.0,20.0,977.0,695.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
184,9,54,5,1,,970.0,1114.0,3.0,7.0,17.0,2.0,31.0,5.0,15.0,1155.0,916.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
185,9,54,6,1,,783.0,847.0,2.0,7.0,27.0,5.0,22.0,5.0,18.0,854.0,740.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
186,9,54,7,1,,863.0,946.0,0.0,5.0,26.0,4.0,23.0,11.0,18.0,971.0,815.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
187,9,54,8,1,,847.0,893.0,0.0,6.0,28.0,2.0,36.0,10.0,21.0,920.0,782.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
188,9,54,9,1,,905.0,900.0,1.0,5.0,22.0,2.0,21.0,2.0,13.0,935.0,844.0,017,BAY CITY,017-BAY CITY,,,,,,,,,left_only
208,11,6,0,1,,586.0,804.0,1.0,4.0,18.0,2.0,17.0,4.0,15.0,763.0,592.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
209,11,6,0,2,,185.0,566.0,2.0,3.0,14.0,0.0,6.0,0.0,4.0,539.0,179.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
210,11,6,0,3,,260.0,482.0,0.0,0.0,2.0,0.0,13.0,1.0,7.0,466.0,269.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
211,11,6,0,4,,385.0,580.0,0.0,2.0,3.0,3.0,11.0,2.0,6.0,553.0,403.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
212,11,6,0,5,,420.0,731.0,1.0,5.0,15.0,1.0,11.0,2.0,11.0,697.0,417.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
213,11,6,0,6,,146.0,972.0,6.0,6.0,10.0,2.0,6.0,3.0,2.0,937.0,163.0,021,BENTON TOWNSHIP,021-BENTON TOWNSHIP,,,,,,,,,left_only
219,11,16,0,1,,989.0,426.0,1.0,5.0,15.0,0.0,19.0,1.0,10.0,401.0,978.0,021,COLOMA TOWNSHIP,021-COLOMA TOWNSHIP,,,,,,,,,left_only
220,11,16,0,2,,808.0,363.0,2.0,2.0,15.0,1.0,12.0,5.0,9.0,348.0,796.0,021,COLOMA TOWNSHIP,021-COLOMA TOWNSHIP,,,,,,,,,left_only
224,11,22,0,1,,1401.0,672.0,0.0,1.0,20.0,2.0,27.0,4.0,19.0,620.0,1419.0,021,LAKE TOWNSHIP,021-LAKE TOWNSHIP,,,,,,,,,left_only
225,11,24,0,1,,1152.0,739.0,0.0,3.0,14.0,1.0,28.0,4.0,10.0,642.0,1241.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
226,11,24,0,2,,772.0,539.0,2.0,1.0,5.0,1.0,15.0,5.0,12.0,464.0,819.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
227,11,24,0,3,,1062.0,851.0,0.0,3.0,10.0,0.0,20.0,2.0,12.0,781.0,1103.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
228,11,24,0,4,,1067.0,715.0,0.0,3.0,12.0,1.0,19.0,3.0,7.0,627.0,1137.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
229,11,24,0,5,,676.0,459.0,0.0,4.0,10.0,5.0,17.0,4.0,7.0,421.0,706.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
230,11,24,0,6,,620.0,349.0,0.0,1.0,6.0,0.0,17.0,3.0,10.0,315.0,639.0,021,LINCOLN TOWNSHIP,021-LINCOLN TOWNSHIP,,,,,,,,,left_only
237,11,30,0,1,,996.0,601.0,0.0,2.0,16.0,5.0,22.0,3.0,7.0,528.0,1063.0,021,ORONOKO TOWNSHIP,021-ORONOKO TOWNSHIP,,,,,,,,,left_only
238,11,30,0,2,,408.0,430.0,0.0,2.0,11.0,0.0,18.0,4.0,15.0,391.0,415.0,021,ORONOKO TOWNSHIP,021-ORONOKO TOWNSHIP,,,,,,,,,left_only
239,11,30,0,3,,505.0,938.0,2.0,5.0,19.0,8.0,23.0,7.0,14.0,860.0,546.0,021,ORONOKO TOWNSHIP,021-ORONOKO TOWNSHIP,,,,,,,,,left_only
247,11,38,0,1,,719.0,389.0,0.0,2.0,7.0,1.0,19.0,1.0,5.0,363.0,741.0,021,ST. JOSEPH TOWNSHIP,021-ST. JOSEPH TOWNSHIP,,,,,,,,,left_only
292,13,8,0,1,,965.0,492.0,0.0,4.0,13.0,4.0,19.0,2.0,10.0,483.0,958.0,025,BEDFORD TOWNSHIP,025-BEDFORD TOWNSHIP,,,,,,,,,left_only
293,13,8,0,2,,990.0,668.0,2.0,12.0,25.0,4.0,26.0,5.0,8.0,661.0,971.0,025,BEDFORD TOWNSHIP,025-BEDFORD TOWNSHIP,,,,,,,,,left_only
294,13,8,0,3,,886.0,882.0,0.0,5.0,28.0,2.0,18.0,7.0,14.0,858.0,878.0,025,BEDFORD TOWNSHIP,025-BEDFORD TOWNSHIP,,,,,,,,,left_only
300,13,20,0,1,,593.0,371.0,0.0,7.0,19.0,2.0,24.0,4.0,19.0,357.0,583.0,025,EMMETT TOWNSHIP,025-EMMETT TOWNSHIP,,,,,,,,,left_only
301,13,20,0,2,,1094.0,582.0,1.0,3.0,16.0,4.0,32.0,4.0,5.0,580.0,1088.0,025,EMMETT TOWNSHIP,025-EMMETT TOWNSHIP,,,,,,,,,left_only
302,13,20,0,3,,727.0,599.0,0.0,8.0,19.0,6.0,15.0,2.0,14.0,581.0,715.0,025,EMMETT TOWNSHIP,025-EMMETT TOWNSHIP,,,,,,,,,left_only
303,13,20,0,4,,1285.0,724.0,0.0,5.0,17.0,3.0,27.0,5.0,13.0,704.0,1286.0,025,EMMETT TOWNSHIP,025-EMMETT TOWNSHIP,,,,,,,,,left_only
312,13,36,0,1,,1260.0,609.0,1.0,9.0,22.0,4.0,23.0,2.0,19.0,589.0,1229.0,025,PENNFIELD TOWNSHIP,025-PENNFIELD TOWNSHIP,,,,,,,,,left_only
313,13,36,0,2,,670.0,623.0,1.0,3.0,18.0,3.0,21.0,5.0,11.0,600.0,666.0,025,PENNFIELD TOWNSHIP,025-PENNFIELD TOWNSHIP,,,,,,,,,left_only
314,13,36,0,3,,1106.0,593.0,1.0,1.0,29.0,3.0,26.0,2.0,8.0,570.0,1108.0,025,PENNFIELD TOWNSHIP,025-PENNFIELD TOWNSHIP,,,,,,,,,left_only
352,14,8,0,1,,786.0,752.0,2.0,5.0,16.0,3.0,21.0,5.0,15.0,711.0,794.0,027,LA GRANGE TOWNSHIP,027-LA GRANGE TOWNSHIP,,,,,,,,,left_only
381,15,26,0,13,,79.0,140.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,127.0,89.0,029,ST JAMES TOWNSHIP,029-ST JAMES TOWNSHIP,,,,,,,,,left_only
384,15,52,0,16,,1234.0,1003.0,1.0,7.0,13.0,2.0,29.0,4.0,18.0,961.0,1268.0,029,BOYNE CITY,029-BOYNE CITY,,,,,,,,,left_only
418,17,16,0,1,,1002.0,461.0,1.0,5.0,18.0,4.0,22.0,1.0,8.0,491.0,961.0,033,KINROSS TOWNSHIP,033-KINROSS TOWNSHIP,,,,,,,,,left_only
449,19,2,0,1,,603.0,543.0,2.0,3.0,19.0,0.0,12.0,3.0,9.0,530.0,584.0,037,BATH TOWNSHIP,037-BATH TOWNSHIP,,,,,,,,,left_only
450,19,2,0,2,,576.0,931.0,2.0,9.0,9.0,4.0,19.0,4.0,16.0,925.0,568.0,037,BATH TOWNSHIP,037-BATH TOWNSHIP,,,,,,,,,left_only
451,19,2,0,3,,558.0,559.0,0.0,1.0,10.0,1.0,14.0,3.0,7.0,551.0,546.0,037,BATH TOWNSHIP,037-BATH TOWNSHIP,,,,,,,,,left_only
452,19,2,0,4,,774.0,1307.0,1.0,5.0,10.0,0.0,26.0,4.0,16.0,1223.0,839.0,037,BATH TOWNSHIP,037-BATH TOWNSHIP,,,,,,,,,left_only
453,19,2,0,5,,349.0,744.0,0.0,1.0,7.0,1.0,18.0,3.0,7.0,730.0,367.0,037,BATH TOWNSHIP,037-BATH TOWNSHIP,,,,,,,,,left_only
457,19,10,0,1,,748.0,987.0,1.0,1.0,3.0,2.0,15.0,1.0,6.0,895.0,852.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
458,19,10,0,2,,603.0,679.0,0.0,1.0,5.0,0.0,12.0,3.0,3.0,648.0,618.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
459,19,10,0,3,,757.0,890.0,1.0,2.0,8.0,1.0,18.0,2.0,10.0,860.0,782.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
460,19,10,0,4,,512.0,477.0,1.0,1.0,11.0,3.0,14.0,3.0,8.0,475.0,508.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
461,19,10,0,5,,678.0,800.0,1.0,0.0,4.0,5.0,21.0,3.0,7.0,772.0,697.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
462,19,10,0,6,,377.0,434.0,0.0,3.0,9.0,1.0,12.0,2.0,11.0,430.0,365.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
463,19,10,0,7,,582.0,774.0,0.0,3.0,15.0,2.0,22.0,1.0,12.0,774.0,560.0,037,DE WITT TOWNSHIP,037-DE WITT TOWNSHIP,,,,,,,,,left_only
474,19,30,0,1,,906.0,774.0,0.0,1.0,11.0,2.0,17.0,4.0,5.0,761.0,909.0,037,WATERTOWN TOWNSHIP,037-WATERTOWN TOWNSHIP,,,,,,,,,left_only
475,19,30,0,2,,1040.0,1017.0,0.0,2.0,14.0,1.0,27.0,6.0,11.0,983.0,1054.0,037,WATERTOWN TOWNSHIP,037-WATERTOWN TOWNSHIP,,,,,,,,,left_only
477,19,52,0,1,,568.0,751.0,2.0,5.0,6.0,2.0,29.0,0.0,8.0,721.0,595.0,037,DE WITT CITY,037-DE WITT CITY,,,,,,,,,left_only
478,19,52,0,2,,811.0,1033.0,4.0,2.0,9.0,1.0,26.0,2.0,8.0,988.0,855.0,037,DE WITT CITY,037-DE WITT CITY,,,,,,,,,left_only
485,20,6,0,302,,146.0,78.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,76.0,147.0,039,GRAYLING TOWNSHIP,039-GRAYLING TOWNSHIP,,,,,,,,,left_only
486,20,6,0,304,,744.0,441.0,0.0,1.0,5.0,0.0,10.0,1.0,1.0,419.0,765.0,039,GRAYLING TOWNSHIP,039-GRAYLING TOWNSHIP,,,,,,,,,left_only
487,20,6,0,305,,729.0,404.0,1.0,4.0,11.0,2.0,12.0,4.0,6.0,404.0,706.0,039,GRAYLING TOWNSHIP,039-GRAYLING TOWNSHIP,,,,,,,,,left_only
488,20,6,0,306,,469.0,243.0,1.0,2.0,4.0,0.0,3.0,1.0,2.0,243.0,461.0,039,GRAYLING TOWNSHIP,039-GRAYLING TOWNSHIP,,,,,,,,,left_only
517,22,4,0,1,,813.0,287.0,0.0,1.0,4.0,0.0,9.0,0.0,1.0,291.0,807.0,043,BREITUNG TOWNSHIP,043-BREITUNG TOWNSHIP,,,,,,,,,left_only
518,22,4,0,2,,663.0,270.0,0.0,0.0,3.0,2.0,7.0,0.0,5.0,272.0,652.0,043,BREITUNG TOWNSHIP,043-BREITUNG TOWNSHIP,,,,,,,,,left_only
519,22,4,0,3,,1134.0,471.0,1.0,3.0,6.0,3.0,20.0,0.0,5.0,481.0,1120.0,043,BREITUNG TOWNSHIP,043-BREITUNG TOWNSHIP,,,,,,,,,left_only
536,23,12,0,1,,589.0,720.0,0.0,4.0,6.0,1.0,8.0,3.0,6.0,695.0,597.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
537,23,12,0,2,,914.0,1178.0,0.0,3.0,12.0,5.0,24.0,2.0,11.0,1136.0,936.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
538,23,12,0,3,,341.0,760.0,0.0,1.0,4.0,0.0,12.0,2.0,9.0,738.0,349.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
539,23,12,0,4,,653.0,996.0,0.0,2.0,14.0,4.0,27.0,6.0,10.0,979.0,678.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
540,23,12,0,5,,432.0,985.0,0.0,3.0,14.0,2.0,17.0,4.0,9.0,963.0,441.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
541,23,12,0,6,,592.0,982.0,1.0,3.0,13.0,6.0,14.0,4.0,10.0,939.0,620.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
542,23,12,0,7,,319.0,740.0,2.0,1.0,16.0,2.0,10.0,4.0,7.0,737.0,304.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
543,23,12,0,8,,339.0,817.0,0.0,2.0,17.0,2.0,25.0,8.0,13.0,809.0,346.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
544,23,12,0,9,,357.0,733.0,0.0,1.0,5.0,2.0,8.0,5.0,11.0,732.0,358.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
545,23,12,0,10,,518.0,905.0,0.0,2.0,21.0,2.0,26.0,0.0,6.0,880.0,534.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
546,23,12,0,11,,250.0,504.0,2.0,1.0,7.0,1.0,6.0,3.0,12.0,503.0,238.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
547,23,12,0,12,,728.0,846.0,2.0,5.0,7.0,3.0,19.0,0.0,8.0,819.0,748.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
548,23,12,0,13,,571.0,654.0,2.0,0.0,3.0,3.0,10.0,1.0,2.0,632.0,595.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
549,23,12,0,14,,472.0,922.0,0.0,1.0,5.0,2.0,10.0,4.0,5.0,923.0,463.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
550,23,12,0,15,,304.0,701.0,1.0,1.0,13.0,3.0,10.0,3.0,6.0,682.0,307.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
551,23,12,0,16,,408.0,532.0,0.0,5.0,10.0,1.0,15.0,1.0,9.0,511.0,413.0,045,DELTA TOWNSHIP,045-DELTA TOWNSHIP,,,,,,,,,left_only
558,23,22,0,1,,1006.0,685.0,0.0,5.0,8.0,2.0,21.0,5.0,10.0,681.0,1004.0,045,ONEIDA TOWNSHIP,045-ONEIDA TOWNSHIP,,,,,,,,,left_only
559,23,22,0,2,,461.0,409.0,0.0,0.0,9.0,0.0,16.0,2.0,5.0,417.0,453.0,045,ONEIDA TOWNSHIP,045-ONEIDA TOWNSHIP,,,,,,,,,left_only
564,23,32,0,1,,967.0,801.0,0.0,6.0,13.0,0.0,22.0,1.0,12.0,835.0,922.0,045,WINDSOR TOWNSHIP,045-WINDSOR TOWNSHIP,,,,,,,,,left_only
565,23,32,0,2,,806.0,873.0,1.0,2.0,17.0,6.0,28.0,2.0,9.0,871.0,799.0,045,WINDSOR TOWNSHIP,045-WINDSOR TOWNSHIP,,,,,,,,,left_only
566,23,32,0,3,,587.0,701.0,1.0,3.0,12.0,3.0,16.0,5.0,12.0,710.0,569.0,045,WINDSOR TOWNSHIP,045-WINDSOR TOWNSHIP,,,,,,,,,left_only
593,24,22,0,1,,365.0,285.0,0.0,1.0,0.0,0.0,8.0,1.0,2.0,264.0,383.0,047,PLEASANT VIEW TOWNSHIP,047-PLEASANT VIEW TOWNSHIP,,,,,,,,,left_only
611,25,8,0,1,,830.0,786.0,1.0,3.0,11.0,2.0,10.0,4.0,10.0,777.0,813.0,049,CLAYTON TOWNSHIP,049-CLAYTON TOWNSHIP,,,,,,,,,left_only
612,25,8,0,2,,678.0,627.0,1.0,1.0,17.0,0.0,14.0,3.0,6.0,648.0,628.0,049,CLAYTON TOWNSHIP,049-CLAYTON TOWNSHIP,,,,,,,,,left_only
613,25,8,0,3,,469.0,442.0,1.0,2.0,3.0,1.0,15.0,5.0,7.0,467.0,448.0,049,CLAYTON TOWNSHIP,049-CLAYTON TOWNSHIP,,,,,,,,,left_only
614,25,8,0,4,,527.0,356.0,0.0,2.0,16.0,5.0,19.0,3.0,13.0,362.0,504.0,049,CLAYTON TOWNSHIP,049-CLAYTON TOWNSHIP,,,,,,,,,left_only
624,25,12,0,1,,1260.0,762.0,1.0,1.0,10.0,4.0,22.0,1.0,11.0,758.0,1244.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
625,25,12,0,2,,1273.0,773.0,4.0,6.0,12.0,0.0,19.0,4.0,9.0,780.0,1241.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
626,25,12,0,3,,1153.0,684.0,1.0,6.0,10.0,3.0,22.0,3.0,8.0,684.0,1122.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
627,25,12,0,4,,1056.0,592.0,0.0,2.0,6.0,0.0,18.0,1.0,5.0,562.0,1068.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
628,25,12,0,5,,1089.0,712.0,1.0,0.0,10.0,1.0,17.0,5.0,5.0,708.0,1085.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
629,25,12,0,6,,1245.0,815.0,0.0,1.0,4.0,1.0,13.0,4.0,12.0,784.0,1267.0,049,FENTON TOWNSHIP,049-FENTON TOWNSHIP,,,,,,,,,left_only
630,25,14,0,1,,357.0,1034.0,1.0,3.0,10.0,0.0,6.0,3.0,7.0,1022.0,354.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
631,25,14,0,2,,296.0,717.0,0.0,1.0,9.0,1.0,8.0,3.0,0.0,730.0,276.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
632,25,14,0,3,,646.0,761.0,2.0,6.0,19.0,3.0,20.0,6.0,16.0,765.0,612.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
633,25,14,0,4,,282.0,1237.0,2.0,4.0,11.0,1.0,7.0,1.0,8.0,1229.0,274.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
634,25,14,0,5,,555.0,1000.0,0.0,1.0,7.0,1.0,8.0,5.0,6.0,1009.0,538.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
635,25,14,0,6,,559.0,855.0,0.0,5.0,18.0,5.0,10.0,7.0,16.0,865.0,520.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
636,25,14,0,7,,74.0,1097.0,0.0,0.0,20.0,0.0,6.0,1.0,2.0,1064.0,86.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
637,25,14,0,8,,23.0,41.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,46.0,16.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
638,25,14,0,9,,300.0,775.0,0.0,7.0,18.0,4.0,8.0,4.0,11.0,790.0,263.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
639,25,14,0,10,,305.0,456.0,1.0,2.0,5.0,1.0,5.0,2.0,6.0,461.0,288.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
640,25,14,0,11,,195.0,463.0,0.0,3.0,7.0,1.0,6.0,0.0,4.0,466.0,182.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
641,25,14,0,12,,482.0,492.0,2.0,3.0,12.0,0.0,12.0,6.0,8.0,504.0,457.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
642,25,14,0,13,,352.0,394.0,0.0,1.0,13.0,4.0,8.0,2.0,7.0,397.0,337.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
643,25,14,0,14,,467.0,626.0,1.0,4.0,14.0,2.0,9.0,5.0,9.0,626.0,440.0,049,FLINT TOWNSHIP,049-FLINT TOWNSHIP,,,,,,,,,left_only
